"AtBat","Hits","HmRun","Runs","RBI","Walks","Years","CAtBat","CHits","CHmRun","CRuns","CRBI","CWalks","League","Division","PutOuts","Assists","Errors","Salary","NewLeague"
407,47,3,34,17,22,10,927,610,16,309,29,194,"N","W",286,2,4,175,"A"
574,144,26,30,60,12,4,1619,2273,315,450,185,112,"A","E",1045,105,15,640,"N"
474,77,6,25,94,40,3,4273,142,32,335,288,239,"N","W",211,59,16,350,"A"
237,84,18,27,58,30,15,5409,238,12,65,117,866,"N","W",0,2,2,740,"A"
161,47,29,71,27,62,3,1064,939,38,180,1179,495,"A","W",303,8,2,1940,"N"
475,96,29,32,35,21,24,1750,273,126,278,319,136,"N","E",117,5,7,202.5,"A"
633,169,8,54,88,44,1,1700,462,1,746,139,71,"A","W",0,9,2,NA,"N"
627,75,0,82,43,78,5,2140,338,10,97,86,1566,"N","W",58,290,14,275,"N"
204,84,20,56,47,1,9,7287,900,271,681,117,20,"N","W",226,150,4,90,"A"
578,55,4,130,73,52,3,4071,753,32,24,202,161,"N","E",78,7,5,750,"N"
524,93,5,89,45,36,12,972,64,212,6,77,286,"A","E",132,9,26,933.333,"N"
161,74,14,32,98,23,3,6100,684,13,76,198,22,"N","W",512,220,3,230,"N"
205,88,6,24,27,24,8,926,476,21,284,1659,117,"A","E",237,15,8,900,"N"
155,183,29,23,33,76,2,593,120,74,66,219,193,"N","W",942,7,3,185,"N"
369,108,4,65,33,27,5,5409,1785,102,202,336,86,"N","W",229,213,4,1220,"A"
492,148,13,89,27,16,15,6100,568,1,80,357,80,"N","E",1314,0,23,341.667,"N"
524,71,23,70,72,12,12,5409,874,235,451,14,653,"N","W",300,406,6,110,"A"
205,85,18,67,79,22,1,2331,452,16,145,202,784,"A","W",212,210,2,1175,"N"
220,137,8,107,45,30,4,773,397,181,557,122,146,"A","W",251,8,3,775,"A"
127,84,1,47,28,54,4,618,467,36,20,75,153,"N","W",239,406,1,365,"N"
306,63,19,77,96,13,5,1556,1222,31,365,999,238,"N","E",756,213,2,650,"A"
394,60,2,24,36,67,5,972,244,43,1082,158,198,"A","E",157,72,5,1300,"A"
336,82,20,53,74,30,7,317,493,0,196,493,497,"N","W",203,0,1,1900,"A"
221,207,12,107,71,37,12,549,34,35,101,365,301,"A","E",149,65,3,100,"N"
529,110,12,35,46,38,5,241,2147,13,313,110,91,"A","E",337,35,13,NA,"A"
278,7,0,82,94,53,3,5829,325,37,703,203,295,"A","E",1224,206,8,NA,"A"
368,110,8,86,55,72,15,876,1610,16,295,31,244,"N","E",132,149,13,1600,"A"
220,92,21,33,19,22,9,84,1066,32,156,707,155,"A","W",692,80,8,NA,"A"
330,54,13,65,70,26,5,912,1102,1,216,13,256,"N","E",391,35,0,920,"A"
323,78,11,41,38,94,9,1085,565,12,545,148,273,"A","E",133,6,20,NA,"N"
284,75,2,26,62,32,9,1354,54,548,135,504,727,"A","E",110,84,7,135,"N"
216,81,14,51,36,53,17,2129,1926,54,379,138,351,"A","E",805,267,2,80,"A"
565,118,31,15,47,17,2,2796,1382,133,178,86,551,"N","W",109,381,13,NA,"N"
473,6,1,23,90,23,8,682,2019,44,188,18,117,"A","W",269,136,2,900,"N"
288,117,26,90,58,60,11,3210,1478,32,102,31,313,"N","W",0,58,20,800,"A"
346,68,17,94,84,30,15,3919,1369,8,100,31,24,"A","W",155,98,9,NA,"A"
677,141,1,1,45,15,24,8247,180,7,27,121,175,"A","E",303,492,5,625,"N"
348,168,28,19,65,37,7,1968,209,7,581,108,99,"A","W",249,4,11,250,"A"
321,133,18,34,78,78,14,5348,160,28,167,1299,11,"A","W",697,283,2,165,"A"
522,139,8,32,15,74,5,3082,1634,166,244,16,90,"A","W",361,5,25,225,"N"
