"AtBat","Hits","HmRun","Runs","RBI","Walks","Years","CAtBat","CHits","CHmRun","CRuns","CRBI","CWalks","League","Division","PutOuts","Assists","Errors","Salary","NewLeague"
496,113,0,80,0,68,6,815,566,28,420,119,24,"N","W",83,94,18,155,"A"
216,118,23,51,96,48,5,937,715,133,1019,477,76,"A","E",267,176,8,1975,"A"
420,51,6,62,96,94,8,6521,1511,35,150,288,86,"N","W",121,140,14,575,"N"
496,68,19,18,29,58,4,4739,2402,3,273,1234,274,"A","E",102,0,3,340,"A"
208,103,5,46,42,22,4,5017,149,32,51,926,101,"A","W",462,83,22,100,"N"
351,70,12,107,32,61,16,498,148,45,702,522,488,"A","E",686,22,9,NA,"N"
503,76,16,46,86,14,12,2862,42,73,196,138,128,"A","W",170,5,1,155,"N"
330,82,11,12,90,65,10,652,267,140,31,163,653,"A","E",269,290,2,1940,"N"
278,120,12,35,48,16,17,876,344,93,245,251,14,"N","W",304,1,12,150,"N"
263,77,7,107,33,83,15,4273,808,3,450,162,239,"N","E",391,9,5,NA,"N"
